latitude start,latitude end,longitude start,longitude end,time,source,min,max,hash
10.0625,15.0625,-54.9375,-49.9375,2020-06-29,des,4.78,9.47,df94d0a8b0f4dcc56d785653eeea66c3
10.0625,15.0625,-54.9375,-49.9375,2020-07-02,des,8.07,10.24,706c288e38799a398a738862d50b6dd4
10.0625,15.0625,-54.9375,-49.9375,2020-07-09,des,7.6000000000000005,9.58,9728f3dc4d8a95b9de02ed38492f8ebd
10.0625,15.0625,-54.9375,-49.9375,2020-07-28,des,1.78,12.43,1b1286ff6fb9e47a7ce6eca3dd90fb3a
10.0625,15.0625,-54.9375,-49.9375,2020-07-31,des,3.83,8.85,355ab58785e066121bc8c1a2d6bee11d
10.0625,15.0625,-54.9375,-49.9375,2020-08-07,des,6.1000000000000005,9.700000000000001,100d01fe5e796a4e9a0f2e259cfec246
10.0625,15.0625,-54.9375,-49.9375,2020-08-14,des,1.44,11.450000000000001,4c2b0ceead05abd52ffcb8ce68472fa7
10.0625,15.0625,-54.9375,-49.9375,2020-08-26,des,3.67,8.49,53367527958daf4699042de9359356a8
10.0625,15.0625,-54.9375,-49.9375,2020-08-29,des,3.1,12.030000000000001,a4b9e00bf6d6399958c45e1c090e0bd1
10.0625,15.0625,-54.9375,-49.9375,2020-09-05,des,2.68,6.7700000000000005,ea3be538e94baefec387db9d019f4fe1
10.0625,15.0625,-54.9375,-49.9375,2020-09-12,des,2.67,11.49,1491a29769edd9ee46b4f88d86c1118d
10.0625,15.0625,-54.9375,-49.9375,2020-09-24,des,2.5100000000000002,7.3,8f71cd13a9209abd883e735c74594d3a
10.0625,15.0625,-54.9375,-49.9375,2020-09-27,des,4.86,9.25,aa2c39b64dfdda09c1cf9c27f890cfd6
10.0625,15.0625,-54.9375,-49.9375,2020-10-04,des,4.22,7.7700000000000005,c70b86e80ba6a950590b362aece56611
10.0625,15.0625,-54.9375,-49.9375,2020-10-11,des,3.5500000000000003,8.370000000000001,8483211dd6b1275262a10ee3f7c8507d
10.0625,15.0625,-54.9375,-49.9375,2020-10-23,des,5.12,12.89,59b2b3fad73df462474d5623db8f55ad
10.0625,15.0625,-54.9375,-49.9375,2020-10-26,des,4.61,8.64,b242bbbd5c5c589eb44270e9e64aa7ee
10.0625,15.0625,-54.9375,-49.9375,2020-11-02,des,9.450000000000001,11.94,1e34e6e8792562c35b5be4b555ecc994
10.0625,15.0625,-54.9375,-49.9375,2020-11-09,des,5.6000000000000005,8.17,120924607e2b7e2187c44c7edcc5ca77
10.0625,15.0625,-54.9375,-49.9375,2020-11-21,des,9.52,13.19,371c455fd28992e26618d87f3f69a7f0
10.0625,15.0625,-54.9375,-49.9375,2020-11-24,des,7.22,9.69,f20e55baf483435344330d864cc918f8
