latitude start,latitude end,longitude start,longitude end,time,source,hash
10.0625,15.0625,-54.9375,-49.9375,2020-04-13,asc,353ec49534794bf8b73aa61ee643e4a9
10.0625,15.0625,-54.9375,-49.9375,2020-05-02,asc,6434fac1876133a1bee7f7acca8ad584
10.0625,15.0625,-54.9375,-49.9375,2020-05-05,asc,64b430e816350262f683d3931b6c4092
10.0625,15.0625,-54.9375,-49.9375,2020-05-12,asc,d71208d0fab8f0704c575bddc35d77c2
10.0625,15.0625,-54.9375,-49.9375,2020-05-31,asc,ab0b6dc0cdca764d6ce31fabd4e9d530
10.0625,15.0625,-54.9375,-49.9375,2020-06-03,asc,c2137bd4fab9dc82f71199f4ff3e6614
10.0625,15.0625,-54.9375,-49.9375,2020-06-10,asc,1edd86bcd410617233202261d12c5192
10.0625,15.0625,-54.9375,-49.9375,2020-06-29,asc,243358d1cb04a82def38e6468af7a3cb
10.0625,15.0625,-54.9375,-49.9375,2020-07-02,asc,978228f41242b1941394910825bbf74a
10.0625,15.0625,-54.9375,-49.9375,2020-07-09,asc,1a6b0acb64fc76e72dbf511e7ac339a7
10.0625,15.0625,-54.9375,-49.9375,2020-07-28,asc,f8a879bd9fd7d3143f30fe697cf9ec16
10.0625,15.0625,-54.9375,-49.9375,2020-07-31,asc,ae450385e2437eac575e100622202d77
10.0625,15.0625,-54.9375,-49.9375,2020-08-07,asc,864d6fe09caa521b7b950b2eafaf242e
10.0625,15.0625,-54.9375,-49.9375,2020-08-14,asc,4be10c249e35e8cc3de5729adb87b5cd
10.0625,15.0625,-54.9375,-49.9375,2020-08-26,asc,da1c868e40ed5e31337433843f8b903e
10.0625,15.0625,-54.9375,-49.9375,2020-08-29,asc,0083a9a75914fb93d78f1a90b38924bc
10.0625,15.0625,-54.9375,-49.9375,2020-09-05,asc,3402c6ce571b62c12c4a0c176b9b868a
10.0625,15.0625,-54.9375,-49.9375,2020-09-12,asc,c6e1820def67020cf48270332db02b1e
10.0625,15.0625,-54.9375,-49.9375,2020-09-24,asc,cd5d082ad16991bfc645f82479f57608
10.0625,15.0625,-54.9375,-49.9375,2020-09-27,asc,f4ac6b46c8c6ba665ed8ddf772b54623
10.0625,15.0625,-54.9375,-49.9375,2020-10-04,asc,30f7c9755347ca81548457af94b29419
10.0625,15.0625,-54.9375,-49.9375,2020-10-11,asc,3609cb660b057c9ec07501f1901f0207
10.0625,15.0625,-54.9375,-49.9375,2020-10-23,asc,ae41f7580e2c5ebc4db0ec3a3541341d
10.0625,15.0625,-54.9375,-49.9375,2020-10-26,asc,4cb0c4c2c453806ab1a5ab890eb0c27d
10.0625,15.0625,-54.9375,-49.9375,2020-11-02,asc,ebe0ec636429ff938b768f615ec99318
10.0625,15.0625,-54.9375,-49.9375,2020-11-09,asc,3461f1b17b877b8e8cf644f78c3618b5
10.0625,15.0625,-54.9375,-49.9375,2020-11-21,asc,ffd8acc974b6c2e80c8d3bc6445f75d8
10.0625,15.0625,-54.9375,-49.9375,2020-11-24,asc,81a198688a4f31ba36cae7e2ba43b1df
10.0625,15.0625,-54.9375,-49.9375,2020-12-01,asc,d0c0194fe8221b007ec7a65b27fc57de
10.0625,15.0625,-54.9375,-49.9375,2020-12-08,asc,82f79eb2886ebff6993d6adf099e67f0
10.0625,15.0625,-54.9375,-49.9375,2020-12-20,asc,966d9403bdd3c8c094ff223245c9fef5
10.0625,15.0625,-54.9375,-49.9375,2020-12-23,asc,5d521c04046c4baad5970e140be00467
10.0625,15.0625,-54.9375,-49.9375,2020-12-30,asc,43d4db215f4b0a7a128c376be74042b9
10.0625,15.0625,-49.9375,-44.9375,2020-01-03,asc,9e5267e72df07b7da0d837dc564c5d7e
10.0625,15.0625,-49.9375,-44.9375,2020-01-06,asc,6ea95bb23528359c35bd95ed82c73601
10.0625,15.0625,-49.9375,-44.9375,2020-01-18,asc,c631028f50ec6a08e2f9446822e62ad7
10.0625,15.0625,-49.9375,-44.9375,2020-01-25,asc,6377e49cf5b157504e18fd0a40261935
10.0625,15.0625,-49.9375,-44.9375,2020-01-27,asc,4810bb227a213d60d6e6dd96ab198794
10.0625,15.0625,-49.9375,-44.9375,2020-02-01,asc,3bc27ad106bcbbd8b2d2fd8dcbef44bf
10.0625,15.0625,-49.9375,-44.9375,2020-02-04,asc,d7a03387dd30ca9301d00c761f5c7435
10.0625,15.0625,-49.9375,-44.9375,2020-02-16,asc,2ada722077dec090e092566902768ed0
